Path 
492.49, 504.89, 487.13, 492.2, 489.3, 512.74, 490.82, 496.63, 
498.07, 498.82, 485.28, 504.12, 495.42, 502.72, 477.96, 497.81, 
529.74, 493.05, 502.58, 496.84, 511.67, 494.79, 497.88, 492.89, 
509.27, 476.26, 506.19, 505.94, 508.41, 495.52, 511.32, 500.08, 
485.97, 487.03, 485.48, 535.7, 507.15, 517.76, 509.6, 521.98, 
481.84, 494.4, 487.33, 498.34, 469.31, 503.27, 500.99, 501.41, 
506.28, 495.97, 512.85, 500.73, 502.5, 501.57, 529.96, 490.06, 
521.49, 516.99, 520.93, 504.81, 518.9, 512.23, 521.33, 479.9, 
495.34, 517.39, 493.69, 501.7, 492.27, 510.16, 495.37, 495.62, 
489.42, 495.92, 476.08, 500.76, 497.13, 501.61, 482.8, 494.32, 
512.59, 494.56, 499.71, 496.77, 520.56, 498.3, 504.2, 492.91, 
500.76, 487.17, 506.08, 497.34, 504.67, 479.81, 499.73, 494.55, 
465.37, 474.36, 468.94, 482.94, 467.0, 469.92, 465.21, 484.2, 
467.59, 496.97, 496.72, 499.15, 486.49, 502.0, 490.97, 496.6, 
501.09, 499.49, 551.16, 521.78, 532.7, 524.3, 537.04, 516.57, 
513.03, 505.7, 517.12, 487.0, 522.24, 519.87, 520.31, 504.97, 
489.82, 506.49, 494.52, 496.27, 495.36, 523.4, 483.99, 492.4, 
495.68, 499.46, 484.0, 497.51, 491.12, 499.84, 460.11, 485.56, 
522.26, 498.34, 506.43, 496.91, 514.97, 500.04, 500.29, 497.85, 
506.64, 486.37, 511.58, 507.87, 512.45, 493.23, 505.0, 496.85, 
482.41, 487.43, 484.56, 507.77, 486.06, 491.81, 480.8, 495.88, 
486.43, 505.31, 496.59, 503.91, 479.09, 498.98, 493.81, 496.73, 
509.66, 503.84, 518.88, 501.76, 504.9, 499.84, 520.24, 494.12, 
531.42, 531.15, 533.75, 520.22, 536.81, 525.01, 531.03, 507.94, 
498.41, 549.97, 520.66, 531.56, 523.18, 535.89, 515.47, 519.94, 
492.85, 503.98, 474.62, 508.97, 506.66, 507.09, 492.14, 509.73, 
517.02, 504.8, 506.58, 505.65, 534.27, 494.04, 502.62, 495.98, 
503.81, 488.22, 501.85, 495.4, 504.2, 464.13, 489.8, 488.73, 
477.1, 484.85, 475.74, 493.03, 478.73, 478.97, 476.64, 509.74, 
479.99, 504.87, 501.21, 505.73, 486.76, 498.37, 490.33, 500.39, 
505.21, 502.23, 526.29, 503.79, 509.75, 498.34, 513.97, 500.71, 
519.41, 510.44, 517.96, 492.44, 512.89, 507.57, 510.57, 493.45, 
494.29, 509.04, 492.24, 495.32, 490.36, 510.38, 484.76, 491.73, 
499.75, 502.19, 489.46, 505.06, 493.96, 499.63, 477.9, 500.37, 
551.72, 522.31, 533.24, 524.84, 537.59, 517.1, 521.58, 517.62, 
511.29, 481.51, 516.36, 514.02, 514.45, 499.29, 517.14, 507.22, 
488.18, 489.91, 489.01, 516.69, 477.78, 486.08, 479.66, 492.82, 
484.53, 498.05, 491.65, 500.38, 460.61, 486.09, 485.03, 486.58, 
508.12, 498.57, 516.69, 501.71, 501.96, 499.51, 534.2, 502.31, 
525.92, 522.1, 526.8, 507.04, 519.14, 510.76, 521.24, 492.87, 
497.05, 520.86, 498.59, 504.49, 493.2, 508.67, 495.55, 497.8, 
491.37, 498.61, 474.05, 493.73, 488.61, 491.5, 475.02, 488.96, 
514.92, 497.93, 501.04, 496.02, 516.27, 490.35, 497.4, 488.63, 
502.44, 489.7, 505.31, 494.21, 499.88, 478.14, 500.62, 497.5, 
473.35, 483.26, 475.64, 487.19, 468.62, 472.68, 469.09, 492.91, 
470.88, 504.96, 502.67, 503.09, 488.26, 505.71, 496.01, 503.88, 
501.77, 500.85, 529.2, 489.35, 497.85, 491.28, 504.76, 488.89, 
513.96, 507.36, 516.37, 475.33, 501.62, 500.53, 502.13, 490.05, 
490.6, 508.43, 493.69, 493.94, 491.53, 525.67, 494.29, 505.25, 
496.37, 500.84, 482.06, 493.56, 485.6, 495.57, 468.59, 509.62, 
523.95, 501.55, 507.48, 496.12, 511.68, 498.48, 500.75, 500.33, 
507.37, 482.38, 502.41, 497.2, 500.14, 483.37, 497.56, 491.7, 
483.5, 486.52, 481.65, 501.31, 476.14, 482.98, 474.46, 492.57, 
487.32, 502.86, 491.81, 497.45, 475.82, 498.19, 495.09, 500.07, 
